Gene/proteinID	Brown et al. 2014 ID	Description of gene/protein product	Proposed gene name	condition	nmol/gDCW	SD	mM	logSD
CAETHG_RS00265	CAETHG_0057	Chaperone protein htpG	htpG	Syngas	17.4	2.4	0.007161839999999999	0.13728167621657203
CAETHG_RS00315	CAETHG_0067	UPF0597 protein yhaM	RS00315	CO	53.6	4.4	0.022061759999999996	0.08195176064631891
CAETHG_RS00315	CAETHG_0067	UPF0597 protein yhaM	RS00315	High-H2 CO	53.6	5.5	0.022061759999999996	0.10234336429137811
CAETHG_RS00315	CAETHG_0067	UPF0597 protein yhaM	RS00315	Syngas	43.6	8.1	0.017945759999999998	0.18420609861056494
CAETHG_RS00355	CAETHG_0075	Protein of unknown function DUF2225	K09766	CO	0.5	0.3	0.0002058	0.5545130293761911
CAETHG_RS00355	CAETHG_0075	Protein of unknown function DUF2225	K09766	High-H2 CO				
CAETHG_RS00355	CAETHG_0075	Protein of unknown function DUF2225	K09766	Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS00365	CAETHG_0077	methyl-accepting chemotaxis sensory transducer	mcp8	CO	1.5	0.2	0.0006173999999999998	0.1327463797992986
CAETHG_RS00365	CAETHG_0077	methyl-accepting chemotaxis sensory transducer	mcp8	High-H2 CO	1.2	1.1	0.0004939199999999999	0.7809715272724235
CAETHG_RS00365	CAETHG_0077	methyl-accepting chemotaxis sensory transducer	mcp8	Syngas	1.1	0.3	0.00045275999999999997	0.2678505270833741
CAETHG_RS00395	CAETHG_0083	4Fe-4S ferredoxin, iron-sulpur binding domain-c	hydN2	CO	2.7	2.4	0.0011113199999999998	0.7630757418160635
CAETHG_RS00395	CAETHG_0083	4Fe-4S ferredoxin, iron-sulpur binding domain-c	hydN2	High-H2 CO	2.6	2.1	0.00107016	0.7086668632201145
CAETHG_RS00395	CAETHG_0083	4Fe-4S ferredoxin, iron-sulpur binding domain-c	hydN2	Syngas	0.7	0.1	0.00028812	0.14213622802621248
CAETHG_RS00430	CAETHG_0090	ABC-type transporter, periplasmic subunit	ABC.FEV.S	CO	3.8	1.0	0.0015640799999999998	0.25876516599409194
CAETHG_RS00430	CAETHG_0090	ABC-type transporter, periplasmic subunit	ABC.FEV.S	High-H2 CO	8.2	2.7	0.0033751199999999992	0.3208323866962118
CAETHG_RS00430	CAETHG_0090	ABC-type transporter, periplasmic subunit	ABC.FEV.S	Syngas	0.4	0.3	0.00016463999999999997	0.6680472308365776
CAETHG_RS00440	CAETHG_0092	Aldehyde ferredoxin oxidoreductase	AOR1	CO	222.8	20.1	0.09170448	0.09003268275587159
CAETHG_RS00440	CAETHG_0092	Aldehyde ferredoxin oxidoreductase	AOR1	High-H2 CO	230.4	11.9	0.09483264	0.05161490966208587
CAETHG_RS00440	CAETHG_0092	Aldehyde ferredoxin oxidoreductase	AOR1	Syngas	174.2	12.3	0.07170071999999998	0.0705207271294367
CAETHG_RS00445	CAETHG_0093	PAS modulated sigma54 specific transcriptional	acoR	CO	7.6	1.0	0.0031281599999999996	0.13101471948260535
CAETHG_RS00445	CAETHG_0093	PAS modulated sigma54 specific transcriptional	acoR	High-H2 CO	5.1	2.3	0.0020991599999999997	0.43027551415987797
CAETHG_RS00445	CAETHG_0093	PAS modulated sigma54 specific transcriptional	acoR	Syngas	5.0	1.0	0.0020579999999999995	0.1980422004353651
CAETHG_RS00450	CAETHG_0094	sigma54 specific transcriptional regulator with	acoR2	CO	1.8	0.7	0.00074088	0.37527976744221925
CAETHG_RS00450	CAETHG_0094	sigma54 specific transcriptional regulator with	acoR2	High-H2 CO	0.4	0.3	0.00016463999999999997	0.6680472308365776
CAETHG_RS00450	CAETHG_0094	sigma54 specific transcriptional regulator with	acoR2	Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS00455	CAETHG_0095	PBP domain containing protein	tupA	CO	1.7	0.5	0.0006997199999999998	0.28803870884973287
CAETHG_RS00455	CAETHG_0095	PBP domain containing protein	tupA	High-H2 CO	0.6	0.2	0.00024695999999999995	0.32459284597450133
CAETHG_RS00455	CAETHG_0095	PBP domain containing protein	tupA	Syngas	0.9	0.1	0.00037044	0.11077044999373434
CAETHG_RS00470	CAETHG_0098	molybdenum cofactor synthesis domain containing	moeA1	CO	23.3	2.6	0.00959028	0.1112429363221006
CAETHG_RS00470	CAETHG_0098	molybdenum cofactor synthesis domain containing	moeA1	High-H2 CO	11.1	4.2	0.004568759999999999	0.36579403724747156
CAETHG_RS00470	CAETHG_0098	molybdenum cofactor synthesis domain containing	moeA1	Syngas	9.1	1.4	0.0037455599999999993	0.15294730979884993
CAETHG_RS00475	CAETHG_0099	molybdenum cofactor synthesis domain containing	moeA2	CO	36.5	2.3	0.015023399999999996	0.06295128027398877
CAETHG_RS00475	CAETHG_0099	molybdenum cofactor synthesis domain containing	moeA2	High-H2 CO	30.6	4.4	0.01259496	0.14305581150606833
CAETHG_RS00475	CAETHG_0099	molybdenum cofactor synthesis domain containing	moeA2	Syngas	32.7	2.9	0.013459320000000002	0.08851137664939195
CAETHG_RS00480	CAETHG_0100	MOSC domain containing protein	RS00480	CO	2.4	0.3	0.0009878399999999998	0.1245158083777528
CAETHG_RS00480	CAETHG_0100	MOSC domain containing protein	RS00480	High-H2 CO	0.5	0.3	0.0002058	0.5545130293761911
CAETHG_RS00480	CAETHG_0100	MOSC domain containing protein	RS00480	Syngas	2.8	0.2	0.00115248	0.07133771448169074
CAETHG_RS00485	CAETHG_0101	sigma54 specific transcriptional regulator, Fis	acoR3	CO	3.7	0.4	0.0015229199999999997	0.10779421753039456
CAETHG_RS00485	CAETHG_0101	sigma54 specific transcriptional regulator, Fis	acoR3	High-H2 CO	2.4	0.9	0.0009878399999999998	0.36273455554815737
CAETHG_RS00485	CAETHG_0101	sigma54 specific transcriptional regulator, Fis	acoR3	Syngas	2.6	0.3	0.00107016	0.11500331394903844
CAETHG_RS00490	CAETHG_0102	Aldehyde ferredoxin oxidoreductase	AOR2	CO	15.6	5.9	0.006420959999999999	0.3656372643406115
CAETHG_RS00490	CAETHG_0102	Aldehyde ferredoxin oxidoreductase	AOR2	High-H2 CO	15.0	5.2	0.006173999999999999	0.3368789142547134
CAETHG_RS00490	CAETHG_0102	Aldehyde ferredoxin oxidoreductase	AOR2	Syngas	1.8	1.3	0.00074088	0.6478932460292827
CAETHG_RS00550	CAETHG_0115	Electron transfer flavoprotein alpha/beta-subun	fixA	CO	7.8	0.6	0.0032104799999999995	0.07680964865945113
CAETHG_RS00550	CAETHG_0115	Electron transfer flavoprotein alpha/beta-subun	fixA	High-H2 CO	4.3	1.8	0.0017698799999999995	0.40182552043057806
CAETHG_RS00550	CAETHG_0115	Electron transfer flavoprotein alpha/beta-subun	fixA	Syngas	15.4	2.8	0.006338639999999999	0.18034187452047828
CAETHG_RS00555	CAETHG_0116	Electron transfer flavoprotein alpha/beta-subun		CO	9.6	0.2	0.003951359999999999	0.020831073303287477
CAETHG_RS00555	CAETHG_0116	Electron transfer flavoprotein alpha/beta-subun		High-H2 CO	4.6	2.2	0.0018933599999999995	0.45385452628720535
CAETHG_RS00555	CAETHG_0116	Electron transfer flavoprotein alpha/beta-subun		Syngas	10.0	2.3	0.004115999999999999	0.2270424230855911
CAETHG_RS00560	CAETHG_0117	D-lactate dehydrogenase (cytochrome)	glcD	CO	2.5	2.6	0.0010289999999999997	0.8562340969478521
CAETHG_RS00560	CAETHG_0117	D-lactate dehydrogenase (cytochrome)	glcD	High-H2 CO				
CAETHG_RS00560	CAETHG_0117	D-lactate dehydrogenase (cytochrome)	glcD	Syngas	2.2	1.0	0.0009055199999999999	0.4333775214655178
CAETHG_RS00565	CAETHG_0118	2-dehydropantoate 2-reductase	panE	CO	5.9	1.4	0.00242844	0.23404613538751934
CAETHG_RS00565	CAETHG_0118	2-dehydropantoate 2-reductase	panE	High-H2 CO	3.5	0.8	0.0014405999999999998	0.22566763161862624
CAETHG_RS00565	CAETHG_0118	2-dehydropantoate 2-reductase	panE	Syngas	4.9	1.1	0.0020168399999999998	0.2217361501957035
CAETHG_RS00570	-		RS00570	CO	1.2	0.2	0.0004939199999999999	0.16552635496534787
CAETHG_RS00570	-		RS00570	High-H2 CO				
CAETHG_RS00570	-		RS00570	Syngas	0.5	0.1	0.0002058	0.1980422004353651
CAETHG_RS00580	CAETHG_0122	Ketol-acid reductoisomerase	ilvC	CO	236.2	7.8	0.09721991999999997	0.033013864359977614
CAETHG_RS00580	CAETHG_0122	Ketol-acid reductoisomerase	ilvC	High-H2 CO	187.6	21.8	0.07721615999999999	0.11581524102034677
CAETHG_RS00580	CAETHG_0122	Ketol-acid reductoisomerase	ilvC	Syngas	253.0	28.0	0.10413479999999999	0.11033528156886341
CAETHG_RS00585	CAETHG_0123	Dihydroxy-acid dehydratase	ilvD	CO	59.3	6.9	0.024407879999999996	0.11596652340698894
CAETHG_RS00585	CAETHG_0123	Dihydroxy-acid dehydratase	ilvD	High-H2 CO	47.3	1.8	0.01946867999999999	0.03804120146778528
CAETHG_RS00585	CAETHG_0123	Dihydroxy-acid dehydratase	ilvD	Syngas	39.3	5.8	0.016175879999999993	0.14678842946603807
CAETHG_RS00590	CAETHG_0124	acetolactate synthase, large subunit, biosynthe	ilvB3	CO	14.7	1.8	0.0060505199999999985	0.12199367772123712
CAETHG_RS00590	CAETHG_0124	acetolactate synthase, large subunit, biosynthe	ilvB3	High-H2 CO	14.4	1.4	0.00592704	0.09699365102983372
CAETHG_RS00590	CAETHG_0124	acetolactate synthase, large subunit, biosynthe	ilvB3	Syngas	8.1	1.6	0.0033339599999999995	0.1956437119304063
CAETHG_RS00595	CAETHG_0125	acetolactate synthase, small subunit	ilvH	CO	6.0	0.3	0.0024695999999999993	0.049968792246632754
CAETHG_RS00595	CAETHG_0125	acetolactate synthase, small subunit	ilvH	High-H2 CO	5.7	1.4	0.0023461199999999993	0.24202613036335296
CAETHG_RS00595	CAETHG_0125	acetolactate synthase, small subunit	ilvH	Syngas	4.8	0.9	0.0019756799999999996	0.18588270900398385
CAETHG_RS00620	CAETHG_0130	Urea carboxylase	E6.3.4.6	CO				
CAETHG_RS00620	CAETHG_0130	Urea carboxylase	E6.3.4.6	High-H2 CO	0.4	0.3	0.00016463999999999997	0.6680472308365776
CAETHG_RS00620	CAETHG_0130	Urea carboxylase	E6.3.4.6	Syngas				
CAETHG_RS00650	CAETHG_0136	Protein of unknown function DUF2284, metal-bind	RS00650	CO	2.0	0.4	0.0008232	0.1980422004353651
CAETHG_RS00650	CAETHG_0136	Protein of unknown function DUF2284, metal-bind	RS00650	High-H2 CO	1.2	0.4	0.0004939199999999999	0.32459284597450133
CAETHG_RS00650	CAETHG_0136	Protein of unknown function DUF2284, metal-bind	RS00650	Syngas	1.9	0.5	0.0007820399999999999	0.25876516599409194
CAETHG_RS00695	CAETHG_0145	Methionine synthase	RS00695	CO	27.2	2.1	0.011195519999999997	0.07709120113205227
CAETHG_RS00695	CAETHG_0145	Methionine synthase	RS00695	High-H2 CO	11.3	3.0	0.00465108	0.26097918830430106
CAETHG_RS00695	CAETHG_0145	Methionine synthase	RS00695	Syngas	25.7	2.9	0.010578119999999998	0.11248372469834966
CAETHG_RS00705	CAETHG_0147	cobalamin synthesis protein P47K	RS00705	CO	1.8	0.1	0.00074088	0.05551276013141586
CAETHG_RS00705	CAETHG_0147	cobalamin synthesis protein P47K	RS00705	High-H2 CO	0.9	0.4	0.00037044	0.4245725189304461
CAETHG_RS00705	CAETHG_0147	cobalamin synthesis protein P47K	RS00705	Syngas	1.6	0.4	0.0006585599999999999	0.24622067706923975
CAETHG_RS00725	CAETHG_0151	Uroporphyrinogen decarboxylase (URO-D)	RS00725	CO	40.5	43.5	0.0166698	0.8758750860332172
CAETHG_RS00725	CAETHG_0151	Uroporphyrinogen decarboxylase (URO-D)	RS00725	High-H2 CO	18.5	23.8	0.007614599999999998	0.9881611901608744
CAETHG_RS00725	CAETHG_0151	Uroporphyrinogen decarboxylase (URO-D)	RS00725	Syngas	24.0	14.6	0.009878399999999997	0.5611251446254012
CAETHG_RS00740	CAETHG_0155	Uroporphyrinogen decarboxylase (URO-D)	RS00740	CO	7.1	2.0	0.0029223599999999993	0.2763302234705687
CAETHG_RS00740	CAETHG_0155	Uroporphyrinogen decarboxylase (URO-D)	RS00740	High-H2 CO	4.6	2.0	0.0018933599999999995	0.4161043436953539
CAETHG_RS00740	CAETHG_0155	Uroporphyrinogen decarboxylase (URO-D)	RS00740	Syngas	5.9	0.5	0.00242844	0.08459419406638366
CAETHG_RS00760	CAETHG_0160	purine nucleoside phosphorylase I, inosine and	punA	CO	3.7	1.1	0.0015229199999999997	0.2910250395602687
CAETHG_RS00760	CAETHG_0160	purine nucleoside phosphorylase I, inosine and	punA	High-H2 CO	1.5	0.6	0.0006173999999999998	0.38525317015992644
CAETHG_RS00760	CAETHG_0160	purine nucleoside phosphorylase I, inosine and	punA	Syngas	2.5	0.5	0.0010289999999999997	0.1980422004353651
CAETHG_RS00765	CAETHG_0161	Translation initiation factor IF-3	infC	CO	4.0	1.5	0.0016464	0.36273455554815737
CAETHG_RS00765	CAETHG_0161	Translation initiation factor IF-3	infC	High-H2 CO	2.9	0.9	0.0011936399999999997	0.3032384599348271
CAETHG_RS00765	CAETHG_0161	Translation initiation factor IF-3	infC	Syngas	2.6	0.6	0.00107016	0.2277824298953098
CAETHG_RS00770	CAETHG_0162	response regulator receiver protein	ycbB	CO	1.4	0.8	0.00057624	0.5315702886589981
CAETHG_RS00770	CAETHG_0162	response regulator receiver protein	ycbB	High-H2 CO				
CAETHG_RS00770	CAETHG_0162	response regulator receiver protein	ycbB	Syngas	1.2	0.4	0.0004939199999999999	0.32459284597450133
CAETHG_RS00810	CAETHG_0170	Cysteinyl-tRNA synthetase	CARS	CO	0.5	0.2	0.0002058	0.38525317015992666
CAETHG_RS00810	CAETHG_0170	Cysteinyl-tRNA synthetase	CARS	High-H2 CO	0.7	0.4	0.00028812	0.5315702886589981
CAETHG_RS00810	CAETHG_0170	Cysteinyl-tRNA synthetase	CARS	Syngas	0.2	0.0	8.231999999999998e-05	0.0
CAETHG_RS00820	CAETHG_0172	HutD-family protein	K09975	CO	1.9	0.4	0.0007820399999999999	0.20824799906632924
CAETHG_RS00820	CAETHG_0172	HutD-family protein	K09975	High-H2 CO	1.8	0.7	0.00074088	0.37527976744221925
CAETHG_RS00820	CAETHG_0172	HutD-family protein	K09975	Syngas	4.2	0.6	0.0017287199999999998	0.14213622802621248
CAETHG_RS00930	CAETHG_0196	2-hydroxyglutaryl-CoA dehydratase D-component	RS00930	CO	0.7	0.3	0.00028812	0.41063695941280387
CAETHG_RS00930	CAETHG_0196	2-hydroxyglutaryl-CoA dehydratase D-component	RS00930	High-H2 CO	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS00930	CAETHG_0196	2-hydroxyglutaryl-CoA dehydratase D-component	RS00930	Syngas				
CAETHG_RS00935	CAETHG_0197	Uroporphyrinogen decarboxylase (URO-D)	hemE2	CO				
CAETHG_RS00935	CAETHG_0197	Uroporphyrinogen decarboxylase (URO-D)	hemE2	High-H2 CO				
CAETHG_RS00935	CAETHG_0197	Uroporphyrinogen decarboxylase (URO-D)	hemE2	Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS00950	CAETHG_0200	General substrate transporter	ydjE2	CO	4.9	0.6	0.0020168399999999998	0.12199367772123712
CAETHG_RS00950	CAETHG_0200	General substrate transporter	ydjE2	High-H2 CO	4.2	0.8	0.0017287199999999998	0.18878166078133404
CAETHG_RS00950	CAETHG_0200	General substrate transporter	ydjE2	Syngas	5.5	1.0	0.0022637999999999994	0.18034187452047828
CAETHG_RS00955	CAETHG_0201	YbaK/prolyl-tRNA synthetase associated region	RS00955	CO	4.2	0.5	0.0017287199999999998	0.118629030772331
CAETHG_RS00955	CAETHG_0201	YbaK/prolyl-tRNA synthetase associated region	RS00955	High-H2 CO	2.1	1.0	0.0008643599999999999	0.4520778731586357
CAETHG_RS00955	CAETHG_0201	YbaK/prolyl-tRNA synthetase associated region	RS00955	Syngas	4.5	0.4	0.0018521999999999998	0.0887140533918122
CAETHG_RS00980	CAETHG_0206	Aluminum resistance family protein	RS00980	CO	0.6	0.0	0.00024695999999999995	0.0
CAETHG_RS00980	CAETHG_0206	Aluminum resistance family protein	RS00980	High-H2 CO				
CAETHG_RS00980	CAETHG_0206	Aluminum resistance family protein	RS00980	Syngas	0.6	0.3	0.00024695999999999995	0.47238072707743883
CAETHG_RS00985	CAETHG_0207	Protein hfq	hfq	CO	4.1	0.6	0.0016875599999999996	0.1455669175632291
CAETHG_RS00985	CAETHG_0207	Protein hfq	hfq	High-H2 CO	2.0	0.7	0.0008232	0.3399387307063912
CAETHG_RS00985	CAETHG_0207	Protein hfq	hfq	Syngas	5.5	0.8	0.0022637999999999994	0.14469389224718424
CAETHG_RS01005	CAETHG_0211	(Dimethylallyl)adenosine tRNA methylthiotransfe	miaB	CO	1.5	0.1	0.0006173999999999998	0.06659277038737595
CAETHG_RS01005	CAETHG_0211	(Dimethylallyl)adenosine tRNA methylthiotransfe	miaB	High-H2 CO	1.0	0.8	0.0004116	0.7033464593186682
CAETHG_RS01005	CAETHG_0211	(Dimethylallyl)adenosine tRNA methylthiotransfe	miaB	Syngas	1.0	0.2	0.0004116	0.1980422004353651
CAETHG_RS01015	CAETHG_0213	putative transcriptional regulator, GntR family	LYSN3	CO	5.6	0.6	0.00230496	0.10683726542943801
CAETHG_RS01015	CAETHG_0213	putative transcriptional regulator, GntR family	LYSN3	High-H2 CO	6.4	0.9	0.0026342399999999995	0.13993712080013518
CAETHG_RS01015	CAETHG_0213	putative transcriptional regulator, GntR family	LYSN3	Syngas	4.9	1.0	0.0020168399999999998	0.20200330357785218
CAETHG_RS01020	CAETHG_0215	Aspartate transaminase	aspB	CO	20.6	2.5	0.008478959999999999	0.12091590664064505
CAETHG_RS01020	CAETHG_0215	Aspartate transaminase	aspB	High-H2 CO	16.0	1.3	0.0065856	0.08111638314196488
CAETHG_RS01020	CAETHG_0215	Aspartate transaminase	aspB	Syngas	15.0	2.5	0.006173999999999999	0.16552635496534787
CAETHG_RS01035	CAETHG_0218	4-hydroxy-3-methylbut-2-enyl diphosphate reduct	RS01035	CO	7.6	1.0	0.0031281599999999996	0.13101471948260535
CAETHG_RS01035	CAETHG_0218	4-hydroxy-3-methylbut-2-enyl diphosphate reduct	RS01035	High-H2 CO	7.6	2.0	0.0031281599999999996	0.25876516599409194
CAETHG_RS01035	CAETHG_0218	4-hydroxy-3-methylbut-2-enyl diphosphate reduct	RS01035	Syngas	5.1	1.2	0.0020991599999999997	0.23213161890397316
CAETHG_RS01050	CAETHG_0221	transcriptional regulator, RpiR family	RS01050	CO	9.7	1.3	0.003992519999999999	0.13342460003983178
CAETHG_RS01050	CAETHG_0221	transcriptional regulator, RpiR family	RS01050	High-H2 CO	9.6	2.0	0.003951359999999999	0.20612441349659735
CAETHG_RS01050	CAETHG_0221	transcriptional regulator, RpiR family	RS01050	Syngas	11.0	2.1	0.004527599999999999	0.18920312957035726
CAETHG_RS01060	CAETHG_0223	hypothetical protein	RS01060	CO	2.2	0.7	0.0009055199999999999	0.31054229574924713
CAETHG_RS01060	CAETHG_0223	hypothetical protein	RS01060	High-H2 CO	0.8	0.3	0.00032927999999999994	0.36273455554815737
CAETHG_RS01060	CAETHG_0223	hypothetical protein	RS01060	Syngas	1.1	0.3	0.00045275999999999997	0.2678505270833741
CAETHG_RS01065	CAETHG_0224	selenium metabolism protein YedF	RS01065	CO	2.5	0.3	0.0010289999999999997	0.11957133728793198
CAETHG_RS01065	CAETHG_0224	selenium metabolism protein YedF	RS01065	High-H2 CO				
CAETHG_RS01065	CAETHG_0224	selenium metabolism protein YedF	RS01065	Syngas	2.2	0.9	0.0009055199999999999	0.39337110268779185
CAETHG_RS01070	CAETHG_0225	Nitrilase/cyanide hydratase and apolipoprotein	NIT2	CO	3.0	0.3	0.0012347999999999997	0.0997513451195927
CAETHG_RS01070	CAETHG_0225	Nitrilase/cyanide hydratase and apolipoprotein	NIT2	High-H2 CO	1.9	0.4	0.0007820399999999999	0.20824799906632924
CAETHG_RS01070	CAETHG_0225	Nitrilase/cyanide hydratase and apolipoprotein	NIT2	Syngas	2.6	0.6	0.00107016	0.2277824298953098
CAETHG_RS01075	CAETHG_0226	UBA/THIF-type NAD/FAD binding protein	tcdA	CO	2.0	0.3	0.0008232	0.14916638004195087
CAETHG_RS01075	CAETHG_0226	UBA/THIF-type NAD/FAD binding protein	tcdA	High-H2 CO	0.8	0.4	0.00032927999999999994	0.47238072707743883
CAETHG_RS01075	CAETHG_0226	UBA/THIF-type NAD/FAD binding protein	tcdA	Syngas	1.4	0.2	0.00057624	0.14213622802621248
CAETHG_RS01085	CAETHG_0228	Formimidoylglutamase	hutG	CO				
CAETHG_RS01085	CAETHG_0228	Formimidoylglutamase	hutG	High-H2 CO				
CAETHG_RS01085	CAETHG_0228	Formimidoylglutamase	hutG	Syngas	0.2	0.0	8.231999999999998e-05	0.0
CAETHG_RS01130	CAETHG_0238	Acetylornithine/succinyldiaminopimelate aminotr	argD	CO	17.9	5.5	0.007367639999999999	0.3003592305033485
CAETHG_RS01130	CAETHG_0238	Acetylornithine/succinyldiaminopimelate aminotr	argD	High-H2 CO	12.3	7.9	0.005062679999999999	0.5876858323699478
CAETHG_RS01130	CAETHG_0238	Acetylornithine/succinyldiaminopimelate aminotr	argD	Syngas	14.3	2.4	0.00588588	0.1666680062919522
CAETHG_RS01140	CAETHG_0240	Arginine biosynthesis bifunctional protein ArgJ	argJ	CO	1.7	0.5	0.0006997199999999998	0.28803870884973287
CAETHG_RS01140	CAETHG_0240	Arginine biosynthesis bifunctional protein ArgJ	argJ	High-H2 CO	0.6	0.5	0.00024695999999999995	0.7261920721938523
CAETHG_RS01140	CAETHG_0240	Arginine biosynthesis bifunctional protein ArgJ	argJ	Syngas	1.4	0.4	0.00057624	0.2801278555258211
CAETHG_RS01145	CAETHG_0241	N-acetyl-gamma-glutamyl-phosphate reductase	argC	CO	2.1	0.2	0.0008643599999999999	0.09502319042946389
CAETHG_RS01145	CAETHG_0241	N-acetyl-gamma-glutamyl-phosphate reductase	argC	High-H2 CO	0.9	0.5	0.00037044	0.5186424003488612
CAETHG_RS01145	CAETHG_0241	N-acetyl-gamma-glutamyl-phosphate reductase	argC	Syngas	2.5	0.6	0.0010289999999999997	0.23664781874186983
CAETHG_RS01160	CAETHG_0244	D-lactate dehydrogenase (cytochrome)	glcD2	CO	1.3	0.4	0.00053508	0.3007608853478979
CAETHG_RS01160	CAETHG_0244	D-lactate dehydrogenase (cytochrome)	glcD2	High-H2 CO				
CAETHG_RS01160	CAETHG_0244	D-lactate dehydrogenase (cytochrome)	glcD2	Syngas	1.1	0.4	0.00045275999999999997	0.3524065553184047
CAETHG_RS01165	CAETHG_0245	Electron transfer flavoprotein alpha/beta-subun		CO				
CAETHG_RS01165	CAETHG_0245	Electron transfer flavoprotein alpha/beta-subun		High-H2 CO				
CAETHG_RS01165	CAETHG_0245	Electron transfer flavoprotein alpha/beta-subun		Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS01175	CAETHG_0247	Protein of unknown function DUF2088	larA	CO				
CAETHG_RS01175	CAETHG_0247	Protein of unknown function DUF2088	larA	High-H2 CO				
CAETHG_RS01175	CAETHG_0247	Protein of unknown function DUF2088	larA	Syngas	0.2	0.0	8.231999999999998e-05	0.0
CAETHG_RS01185	CAETHG_0249	regulatory protein GntR HTH	pdhR	CO	0.3	0.0	0.00012347999999999998	0.0
CAETHG_RS01185	CAETHG_0249	regulatory protein GntR HTH	pdhR	High-H2 CO				
CAETHG_RS01185	CAETHG_0249	regulatory protein GntR HTH	pdhR	Syngas	0.4	0.2	0.00016463999999999997	0.47238072707743883
CAETHG_RS01190	CAETHG_0250	hypothetical protein	RS01190	CO	0.4	0.1	0.00016463999999999997	0.24622067706923975
CAETHG_RS01190	CAETHG_0250	hypothetical protein	RS01190	High-H2 CO				
CAETHG_RS01190	CAETHG_0250	hypothetical protein	RS01190	Syngas	0.3	0.1	0.00012347999999999998	0.32459284597450133
CAETHG_RS01210	CAETHG_0255	transcriptional regulator, Rrf2 family	RS01210	CO	6.9	1.2	0.00284004	0.17261912641693203
